modelo,KS,AUROC,Gini,AccuracyRatio,LogLoss,Brier
Logistica,0.29428190640028,0.6982043739218482,0.396409,0.3964486774386993,0.7032546477245913,0.2505297429489431
RandomForest,0.2939753795229958,0.6965100116211608,0.39302,0.3930598710300152,0.6385379722591347,0.22422919703770272
XGBoost,0.28165304767264726,0.6900717014010114,0.380143,0.3801828893820528,0.2977957990160215,0.0836564491991007
