metrica,valor
auc_train,0.7461912342879617
gini_train,0.4923824685759235
ks_train,0.37023423223103497
auc_test,0.7462101644464914
gini_test,0.4924203288929827
ks_test,0.369987727921801
tasa_aprobacion_test,0.24878492971373287
tasa_malos_global,0.7205622901371578
tasa_malos_aprobados_test,0.45779384178981564
tasa_malos_rechazados_test,0.8075850783357071
tasa_malos_bueno_test,0.3747182400144261
tasa_malos_malo_test,0.5433772989039569
captura_malos_test,0.8419398151804754
calidad_cartera_test,0.5422061582101844
auc_reglas_originales,0.853750831055712
auc_reglas_sin_leakage,0.5704100763646925
malos_aprobados_reglas_originales,0.2858218146982346
malos_aprobados_reglas_sin_leakage,0.6464143118016652
malos_aprobados_reglas_25,0.6779734899540577
